frame,r_state,r_reason,r_x,r_y,r_score,candidate_count,local_index,target_x,target_y,target_radius,geometry_valid,dx_img,dy_img,distance_px,angle_rad,angle_deg
0,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
1,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
2,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
3,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
4,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
5,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
6,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
7,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
8,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
9,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
10,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
11,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
12,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
13,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
14,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
15,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
16,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
17,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
18,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
19,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
20,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
21,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
22,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
23,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
24,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
25,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
26,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
27,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
28,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
29,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
30,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
31,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
32,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
33,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
34,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
35,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
36,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
37,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
38,lost,NO_R_CANDIDATE,,,,0,-1,,,,0,,,,,
