frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
0,0.000000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
1,0.033333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
2,0.066667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
3,0.100000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
4,0.133333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
5,0.166667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
6,0.200000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
7,0.233333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
8,0.266667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
9,0.300000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
10,0.333333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
11,0.366667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
12,0.400000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
13,0.433333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
14,0.466667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
15,0.500000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
16,0.533333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
17,0.566667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
18,0.600000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
19,0.633333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
20,0.666667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
21,0.700000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
22,0.733333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
23,0.766667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
24,0.800000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
25,0.833333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
26,0.866667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
27,0.900000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
28,0.933333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
29,0.966667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
30,1.000000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
31,1.033333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
32,1.066667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
33,1.100000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
34,1.133333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
35,1.166667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
36,1.200000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
37,1.233333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
38,1.266667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
39,1.300000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
40,1.333333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
41,1.366667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
42,1.400000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
43,1.433333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
44,1.466667,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
45,1.500000,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
46,1.533333,lost,NO_R_CANDIDATE,0,,waiting,NONE,R_LOST,0,0,,,,,,,,,,,,
