frame,video_time_s,r_state,r_reason,valid_candidates,target_id,track_state,event,reason,lost_frames,lock_active,selected_index,r_x,r_y,target_x,target_y,target_radius,dx_img,dy_img,distance_px,angle_rad,angle_deg,angle_error_deg
0,0.000000,detected,OK,2,1,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,790.000000,757.500000,640.500000,908.500000,40.200001,-149.500000,151.000000,212.488235,-2.351203,-134.714000,
83,2.766667,detected,OK,0,1,lost,LOST,NO_VALID_TARGET,1,1,,626.000000,421.000000,,,,,,,,,
84,2.800000,detected,OK,1,1,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,625.500000,421.000000,713.500000,611.500000,39.400002,88.000000,190.500000,209.843394,-1.138056,-65.205789,0.309272
102,3.400000,detected,OK,1,1,lost,LOST,NO_MATCH,1,1,,560.500000,467.500000,,,,,,,,,
109,3.633333,detected,OK,1,1,lost,RELEASED,NO_MATCH,8,0,,536.000000,592.000000,,,,,,,,,
110,3.666667,detected,OK,1,2,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,527.500000,618.500000,715.500000,571.500000,33.500000,188.000000,-47.000000,193.785964,0.244979,14.036243,
164,5.466667,detected,OK,1,2,lost,LOST,NO_MATCH,1,1,,732.500000,775.000000,,,,,,,,,
171,5.700000,detected,OK,1,2,lost,RELEASED,NO_MATCH,8,0,,868.500000,655.500000,,,,,,,,,
172,5.733333,detected,OK,1,3,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,879.000000,644.500000,730.500000,556.500000,33.799999,-148.500000,-88.000000,172.615903,2.606638,149.349332,
175,5.833333,detected,OK,0,3,lost,LOST,NO_VALID_TARGET,1,1,,906.500000,617.500000,,,,,,,,,
176,5.866667,detected,OK,1,3,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,913.500000,541.000000,755.500000,468.500000,33.599998,-158.000000,-72.500000,173.839725,2.711395,155.351467,3.242598
233,7.766667,detected,OK,2,3,lost,LOST,NO_MATCH,1,1,,762.000000,422.500000,,,,,,,,,
240,8.000000,detected,OK,2,3,lost,RELEASED,NO_MATCH,8,0,,810.000000,798.000000,,,,,,,,,
241,8.033333,detected,OK,2,4,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,1,811.500000,807.500000,788.500000,646.500000,33.799999,-23.000000,-161.000000,162.634560,1.712693,98.130102,
246,8.200000,detected,OK,1,4,lost,LOST,NO_MATCH,1,1,,823.000000,715.500000,,,,,,,,,
247,8.233333,detected,OK,1,4,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,824.000000,717.000000,758.500000,566.500000,32.599998,-65.500000,-150.500000,164.135615,1.981288,113.519444,6.617329
276,9.200000,lost,NO_R_CANDIDATE,0,4,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
277,9.233333,detected,OK,1,4,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,696.000000,699.500000,557.500000,606.500000,31.500000,-138.500000,-93.000000,166.827006,2.550265,146.119424,2.166116
282,9.400000,detected,OK,0,4,lost,LOST,NO_VALID_TARGET,1,1,,914.500000,676.000000,,,,,,,,,
289,9.633333,detected,OK,1,4,lost,RELEASED,NO_MATCH,8,0,,466.000000,629.500000,,,,,,,,,
290,9.666667,detected,OK,1,5,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,468.500000,633.000000,665.500000,634.500000,33.799999,197.000000,1.500000,197.005711,-0.007614,-0.436254,
319,10.633333,detected,OK,2,5,lost,LOST,NO_MATCH,1,1,,530.000000,691.000000,,,,,,,,,
326,10.866667,detected,OK,2,5,lost,RELEASED,NO_MATCH,8,0,,762.000000,821.000000,,,,,,,,,
327,10.900000,detected,OK,2,6,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,1,776.000000,767.000000,747.500000,611.500000,31.799999,-28.500000,-155.500000,158.090164,1.752064,100.385887,
359,11.966667,detected,OK,0,6,lost,LOST,NO_VALID_TARGET,1,1,,902.000000,625.000000,,,,,,,,,
366,12.200000,detected,OK,1,6,lost,RELEASED,NO_MATCH,8,0,,518.000000,771.500000,,,,,,,,,
367,12.233333,detected,OK,1,7,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,578.500000,757.000000,765.500000,719.500000,34.900002,187.000000,-37.500000,190.722967,0.197910,11.339390,
407,13.566667,detected,OK,0,7,lost,LOST,NO_VALID_TARGET,1,1,,756.500000,771.500000,,,,,,,,,
408,13.600000,detected,OK,1,7,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,760.000000,771.500000,800.500000,612.500000,33.799999,40.500000,-159.000000,164.076964,1.321383,75.709675,1.748770
425,14.166667,detected,OK,0,7,lost,LOST,NO_VALID_TARGET,1,1,,799.500000,757.000000,,,,,,,,,
432,14.400000,detected,OK,0,7,lost,RELEASED,NO_VALID_TARGET,8,0,,804.000000,751.000000,,,,,,,,,
453,15.100000,detected,OK,2,8,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,818.000000,747.000000,1008.500000,836.500000,35.099998,190.500000,89.500000,210.476840,-0.439210,-25.164902,
477,15.900000,lost,NO_R_CANDIDATE,0,8,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
479,15.966667,detected,OK,1,8,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,521.500000,614.500000,714.500000,612.500000,35.200001,193.000000,-2.000000,193.010362,0.010362,0.593717,0.709158
481,16.033333,lost,NO_R_CANDIDATE,0,8,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
483,16.100000,detected,OK,1,8,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,521.000000,661.500000,712.500000,647.500000,34.400002,191.500000,-14.000000,192.011067,0.072977,4.181287,1.981250
484,16.133333,lost,NO_R_CANDIDATE,0,8,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
485,16.166667,detected,OK,1,8,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,520.000000,673.500000,716.500000,658.500000,34.700001,196.500000,-15.000000,197.071687,0.076188,4.365258,1.710519
486,16.200000,lost,NO_R_CANDIDATE,0,8,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
487,16.233333,detected,OK,1,8,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,523.000000,690.000000,714.500000,668.500000,37.299999,191.500000,-21.500000,192.703140,0.111803,6.405860,0.830320
530,17.666667,detected,OK,1,8,lost,LOST,NO_MATCH,1,1,,563.000000,735.000000,,,,,,,,,
537,17.900000,detected,OK,1,8,lost,RELEASED,NO_MATCH,8,0,,923.500000,502.000000,,,,,,,,,
538,17.933333,detected,OK,1,9,detected,ACQUIRED,NEW_TRACK_SEGMENT,0,1,0,914.500000,495.000000,729.500000,521.500000,33.799999,-185.000000,26.500000,186.888336,-2.999317,-171.848219,
558,18.600000,detected,OK,0,9,lost,LOST,NO_VALID_TARGET,1,1,,869.500000,483.000000,,,,,,,,,
559,18.633333,detected,OK,1,9,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,869.500000,480.500000,685.500000,532.500000,35.799999,-184.000000,52.000000,191.206694,-2.866167,-164.219247,0.862240
575,19.166667,lost,NO_R_CANDIDATE,0,9,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
577,19.233333,detected,OK,1,9,detected,REACQUIRED,MATCHED_EXISTING_ID,0,1,0,836.000000,448.500000,661.500000,535.500000,34.400002,-174.500000,87.000000,194.985256,-2.679092,-153.500655,4.383955
581,19.366667,lost,NO_R_CANDIDATE,0,9,lost,LOST,R_LOST,1,1,,,,,,,,,,,,
